data,preco,^GSPC
2025-08-11,647972.2182505187,6373.4501953125
2025-08-11,647625.588147175,6373.4501953125
2025-08-11,651368.1045538172,6373.4501953125
2025-08-11,661621.0713601258,6373.4501953125
2025-08-11,661797.6618338386,6373.4501953125
2025-08-11,662992.809342724,6373.4501953125
2025-08-11,663290.6944981983,6373.4501953125
2025-08-11,664404.0778106846,6373.4501953125
2025-08-11,659603.7034498276,6373.4501953125
2025-08-11,660825.3518198371,6373.4501953125
2025-08-11,659288.8725658803,6373.4501953125
2025-08-11,658154.7491550666,6373.4501953125
2025-08-11,654789.9095776906,6373.4501953125
2025-08-11,651943.380153848,6373.4501953125
2025-08-11,653117.8315952292,6373.4501953125
2025-08-11,654821.9837403469,6373.4501953125
2025-08-11,654340.8199938401,6373.4501953125
2025-08-11,653512.8792661787,6373.4501953125
2025-08-11,650132.5946255059,6373.4501953125
2025-08-11,651867.6985494732,6373.4501953125
2025-08-11,647166.2386102491,6373.4501953125
2025-08-11,647463.1543063429,6373.4501953125
2025-08-11,644984.5334356638,6373.4501953125
2025-08-11,646675.8879951745,6373.4501953125
2025-08-12,646111.151958629,6445.759765625
2025-08-12,647138.7361145575,6445.759765625
2025-08-12,647503.7576586938,6445.759765625
2025-08-12,647986.5300362793,6445.759765625
2025-08-12,646689.1342392268,6445.759765625
2025-08-12,647025.3582512856,6445.759765625
2025-08-12,646613.0005486183,6445.759765625
2025-08-12,647032.0463038845,6445.759765625
2025-08-12,647236.2697145202,6445.759765625
2025-08-12,646764.361772161,6445.759765625
2025-08-12,644580.9155253018,6445.759765625
2025-08-12,644970.8541623636,6445.759765625
2025-08-12,645137.9907041582,6445.759765625
2025-08-12,645084.3801066513,6445.759765625
2025-08-12,644136.3859964915,6445.759765625
2025-08-12,646158.2657865789,6445.759765625
2025-08-12,646855.3712150151,6445.759765625
2025-08-12,645345.8600698705,6445.759765625
2025-08-12,643359.1238387389,6445.759765625
2025-08-12,643888.0522007028,6445.759765625
2025-08-12,644515.7872012346,6445.759765625
2025-08-12,646816.8344321392,6445.759765625
2025-08-12,647194.6527045219,6445.759765625
2025-08-12,648295.4477472904,6445.759765625
2025-08-13,648945.2530575918,6466.580078125
2025-08-13,646723.1269704577,6466.580078125
2025-08-13,644724.222923842,6466.580078125
2025-08-13,645763.2353283816,6466.580078125
2025-08-13,645437.6245183995,6466.580078125
2025-08-13,644676.1151244511,6466.580078125
2025-08-13,642957.8747113358,6466.580078125
2025-08-13,645047.0050986111,6466.580078125
2025-08-13,645624.5645154605,6466.580078125
2025-08-13,648882.7621631012,6466.580078125
2025-08-13,650424.4449536444,6466.580078125
2025-08-13,651967.1503112469,6466.580078125
2025-08-13,650200.2169673585,6466.580078125
2025-08-13,647987.5725981091,6466.580078125
2025-08-13,655186.3135225454,6466.580078125
2025-08-13,653071.2092464272,6466.580078125
2025-08-13,655064.0264797448,6466.580078125
2025-08-13,655856.0913826863,6466.580078125
2025-08-13,657310.7460636584,6466.580078125
2025-08-13,656485.0202472628,6466.580078125
2025-08-13,662996.234730529,6466.580078125
2025-08-13,663208.2882528927,6466.580078125
2025-08-13,661409.8030444412,6466.580078125
2025-08-13,663622.1281648176,6466.580078125
2025-08-14,665501.7352048227,6468.5400390625
2025-08-14,667417.6189958671,6468.5400390625
2025-08-14,666406.2353803413,6468.5400390625
2025-08-14,667569.1361182666,6468.5400390625
2025-08-14,667312.0132527599,6468.5400390625
2025-08-14,665729.6276096314,6468.5400390625
2025-08-14,664108.2392178861,6468.5400390625
2025-08-14,658348.4057270291,6468.5400390625
2025-08-14,657008.5322049242,6468.5400390625
2025-08-14,656985.3264899575,6468.5400390625
2025-08-14,656463.1033063823,6468.5400390625
2025-08-14,655826.9364992008,6468.5400390625
2025-08-14,651944.6448413719,6468.5400390625
2025-08-14,652143.6934730256,6468.5400390625
2025-08-14,644254.6479178828,6468.5400390625
2025-08-14,641675.9177541779,6468.5400390625
2025-08-14,641471.8370991964,6468.5400390625
2025-08-14,639796.8754550056,6468.5400390625
2025-08-14,639165.8485774116,6468.5400390625
2025-08-14,639118.6857492289,6468.5400390625
2025-08-14,639469.01342645,6468.5400390625
2025-08-14,639181.9771332415,6468.5400390625
2025-08-14,638950.8604028478,6468.5400390625
2025-08-14,637616.6072980586,6468.5400390625
2025-08-14,640116.128196353,6468.5400390625
2025-08-15,640631.7365702926,6449.7998046875
2025-08-15,640297.661725197,6449.7998046875
2025-08-15,643026.7216790514,6449.7998046875
2025-08-15,643071.4064868303,6449.7998046875
2025-08-15,644558.9955323675,6449.7998046875
2025-08-15,643907.327890377,6449.7998046875
2025-08-15,644638.6086205363,6449.7998046875
2025-08-15,644753.7166416936,6449.7998046875
2025-08-15,644356.2255513916,6449.7998046875
2025-08-15,643737.7290424923,6449.7998046875
2025-08-15,643192.4757983633,6449.7998046875
2025-08-15,643755.9017934487,6449.7998046875
2025-08-15,644600.6208828501,6449.7998046875
2025-08-15,640554.0676739878,6449.7998046875
2025-08-15,636022.509089022,6449.7998046875
2025-08-15,633188.5620466013,6449.7998046875
2025-08-15,633338.1516417771,6449.7998046875
2025-08-15,634223.4531438199,6449.7998046875
2025-08-15,635480.2264790444,6449.7998046875
2025-08-15,633031.2881532373,6449.7998046875
2025-08-15,631650.1198735959,6449.7998046875
2025-08-15,633923.479547229,6449.7998046875
2025-08-15,633964.9154257528,6449.7998046875
2025-08-15,636301.2913550241,6449.7998046875
2025-08-18,634827.6920153337,6449.14990234375
2025-08-18,633538.8756966435,6449.14990234375
2025-08-18,628997.6681822627,6449.14990234375
2025-08-18,625315.5005275304,6449.14990234375
2025-08-18,623033.1847395007,6449.14990234375
2025-08-18,624133.3890726358,6449.14990234375
2025-08-18,625050.4186854044,6449.14990234375
2025-08-18,623077.364757023,6449.14990234375
2025-08-18,625218.0347618053,6449.14990234375
2025-08-18,626259.1727402146,6449.14990234375
2025-08-18,621507.3796089868,6449.14990234375
2025-08-18,621777.9284537625,6449.14990234375
2025-08-18,621470.8284307097,6449.14990234375
2025-08-18,625417.1346487937,6449.14990234375
2025-08-18,622204.9071317571,6449.14990234375
2025-08-18,626396.8815144808,6449.14990234375
2025-08-18,630224.4289974018,6449.14990234375
2025-08-18,630950.5922626676,6449.14990234375
2025-08-18,634079.4922501286,6449.14990234375
2025-08-18,633836.2125537313,6449.14990234375
2025-08-18,632414.6933445097,6449.14990234375
2025-08-18,633121.8990517103,6449.14990234375
2025-08-18,634874.2985678905,6449.14990234375
2025-08-18,633147.0539505854,6449.14990234375
2025-08-19,632370.4063256716,6411.3701171875
2025-08-19,633780.1979851009,6411.3701171875
2025-08-19,629729.9431385044,6411.3701171875
2025-08-19,629367.802473151,6411.3701171875
2025-08-19,624437.116313564,6411.3701171875
2025-08-19,626987.8409359755,6411.3701171875
2025-08-19,625535.5260119472,6411.3701171875
2025-08-19,625189.9283931216,6411.3701171875
2025-08-19,625351.1283819969,6411.3701171875
2025-08-19,626616.7698833778,6411.3701171875
2025-08-19,627555.8002481008,6411.3701171875
2025-08-19,627738.4344623033,6411.3701171875
