timestamp,preco,data,variacao_diaria
1754762940518,634092.507478092,2025-08-09 18:09:00.518,0.0
1754766516104,634017.5831248137,2025-08-09 19:08:36.104,-0.011815997255074127
1754770170112,633441.5365807114,2025-08-09 20:09:30.112,-0.09085655657423121
1754773782014,634697.261380296,2025-08-09 21:09:42.014,0.19823846828279415
1754776852671,633538.3408827455,2025-08-09 22:00:52.671,-0.18259421744315898
1754780611847,633579.8052149682,2025-08-09 23:03:31.847,0.0065448812718944625
1754784262718,633222.3765785702,2025-08-10 00:04:22.718,-0.05641414600906687
1754787884413,634583.4773575971,2025-08-10 01:04:44.413,0.21494830716203817
1754791791382,633707.46366726,2025-08-10 02:09:51.382,-0.13804546156555958
1754795380062,636944.9885831168,2025-08-10 03:09:40.062,0.5108863476407938
1754798980094,644299.1013446663,2025-08-10 04:09:40.094,1.1545915099997486
1754802334524,643956.0371550826,2025-08-10 05:05:34.524,-0.05324610710581144
1754806126539,642085.6172978976,2025-08-10 06:08:46.539,-0.29045769420040946
1754809352178,641863.8698220205,2025-08-10 07:02:32.178,-0.034535499613001695
1754813389498,639760.092591119,2025-08-10 08:09:49.498,-0.3277606560850471
1754816665722,643189.8839138394,2025-08-10 09:04:25.722,0.536105856310795
1754820211843,642862.8391054346,2025-08-10 10:03:31.843,-0.05084731843334827
1754823997087,641532.1982478461,2025-08-10 11:06:37.087,-0.20698674377261123
1754827760429,643435.4591266633,2025-08-10 12:09:20.429,0.29667425641540174
1754831330283,644388.7267679818,2025-08-10 13:08:50.283,0.14815279882342344
1754834925387,644225.5141678258,2025-08-10 14:08:45.387,-0.025328282972078217
1754838252516,645552.0688738702,2025-08-10 15:04:12.516,0.20591464896542439
1754842132375,645996.6435147244,2025-08-10 16:08:52.375,0.06886735590977155
1754845497659,644911.0013750242,2025-08-10 17:04:57.659,-0.16805693196693766
1754848980796,644248.3652288795,2025-08-10 18:03:00.796,-0.1027484636999357
1754852933556,644329.5356666954,2025-08-10 19:08:53.556,0.012599246221930467
1754856514773,644999.3475815281,2025-08-10 20:08:34.773,0.1039548674638387
1754860198195,642137.9821592127,2025-08-10 21:09:58.195,-0.4436229948207432
1754863775415,644891.4074558589,2025-08-10 22:09:35.415,0.42879028700151006
1754867030568,646677.2916479384,2025-08-10 23:03:50.568,0.2769278938178096
1754870767824,647972.2182505187,2025-08-11 00:06:07.824,0.20024309177153143
1754874502244,647625.588147175,2025-08-11 01:08:22.244,-0.05349459337616511
1754877828310,651368.1045538172,2025-08-11 02:03:48.310,0.5778827265533643
1754881781482,661621.0713601258,2025-08-11 03:09:41.482,1.5740664510018976
1754885339973,661797.6618338386,2025-08-11 04:08:59.973,0.0266905758230683
1754888693796,662992.809342724,2025-08-11 05:04:53.796,0.18059107455498255
1754892138822,663290.6944981983,2025-08-11 06:02:18.822,0.04493037500204836
1754895887460,664404.0778106846,2025-08-11 07:04:47.460,0.16785752034838064
1754899751260,659603.7034498276,2025-08-11 08:09:11.260,-0.7225082628443423
1754903639934,660825.3518198371,2025-08-11 09:13:59.934,0.18520944676630696
1754906651872,659288.8725658803,2025-08-11 10:04:11.872,-0.2325091266134884
1754910300657,658154.7491550666,2025-08-11 11:05:00.657,-0.17202222849596396
1754913863615,654789.9095776906,2025-08-11 12:04:23.615,-0.5112535587862373
1754917697602,651943.380153848,2025-08-11 13:08:17.602,-0.4347240820614589
1754921048584,653117.8315952292,2025-08-11 14:04:08.584,0.18014623311369335
1754924979853,654821.9837403469,2025-08-11 15:09:39.853,0.26092568027966334
1754928567208,654340.8199938401,2025-08-11 16:09:27.208,-0.07348008442819537
1754931870933,653512.8792661787,2025-08-11 17:04:30.933,-0.12653050250925169
1754935692745,650132.5946255059,2025-08-11 18:08:12.745,-0.517248358512617
1754939064100,651867.6985494732,2025-08-11 19:04:24.100,0.26688462296938187
1754942673741,647166.2386102491,2025-08-11 20:04:33.741,-0.7212291619427816
1754946181862,647463.1543063429,2025-08-11 21:03:01.862,0.045879355006438735
1754950158187,644984.5334356638,2025-08-11 22:09:18.187,-0.3828203742859486
1754953686940,646675.8879951745,2025-08-11 23:08:06.940,0.26223180120324907
1754956950989,646111.151958629,2025-08-12 00:02:30.989,-0.08732906963583814
1754960986825,647138.7361145575,2025-08-12 01:09:46.825,0.15904138983105756
1754964870494,647503.7576586938,2025-08-12 02:14:30.494,0.05640545431230733
1754968129156,647986.5300362793,2025-08-12 03:08:49.156,0.07455900786293214
1754971338283,646689.1342392268,2025-08-12 04:02:18.283,-0.20021956273996913
1754975326992,647025.3582512856,2025-08-12 05:08:46.992,0.05199159754776898
1754978939637,646613.0005486183,2025-08-12 06:08:59.637,-0.06373130471761382
1754982533374,647032.0463038845,2025-08-12 07:08:53.374,0.06480626818679379
1754986152109,647236.2697145202,2025-08-12 08:09:12.109,0.03156310600105973
1754989779472,646764.361772161,2025-08-12 09:09:39.472,-0.07291123264265864
1754993438222,644580.9155253018,2025-08-12 10:10:38.222,-0.3375953246521529
1754996498822,644970.8541623636,2025-08-12 11:01:38.822,0.06049490881124865
1755000157488,645137.9907041582,2025-08-12 12:02:37.488,0.025913813115121274
1755003803555,645084.3801066513,2025-08-12 13:03:23.555,-0.008309942722230457
1755007817546,644136.3859964915,2025-08-12 14:10:17.546,-0.1469566058944223
1755011146212,646158.2657865789,2025-08-12 15:05:46.212,0.3138900136745822
1755014837754,646855.3712150151,2025-08-12 16:07:17.754,0.10788462600375333
1755018262749,645345.8600698705,2025-08-12 17:04:22.749,-0.23336146104950906
